ENTRYTYPE,ID,abstract,address,adsnote,adsurl,affiliation,an,annote,archiveprefix,article_type,author,author_keywords,bdsk-file-1,bdsk-url-1,bdsk-url-2,bibsource,biburl,booktitle,chapter,citation,copyright,da,date,date-added,date-modified,db,document_type,doi,dp,edition,editor,eid,elocation-id,eprint,et,howpublished,id,institution,isbn,issn,issue,j2,journal,journal1,journal2,keywords,l2,la,language,local-url,location,lp,m3,month,n2,note,number,numpages,organization,pages,pmid,primaryclass,pub_date,publisher,read,reviewed-author,school,series,source,tags,timestamp,title,ty,type,u1,u2,url,volume,year,year1
article,Duvelle2020B,"Flexible navigation relies on a cognitive map of space, thought to be implemented by hippocampal place cells: neurons that exhibit location-specific firing. In connected environments, optimal navigation requires keeping track of one's location and of the available connections between subspaces. We examined whether the dorsal CA1 place cells of rats encode environmental connectivity in four geometrically-identical boxes arranged in a square. Rats moved between boxes by pushing saloon-type doors that could be locked in one or both directions. While rats demonstrated knowledge of environmental connectivity, their place cells did not respond to connectivity changes, nor did they represent doorways differently from other locations. Importantly, place cells coded the space in a global frame, expressing minimal repetitive fields despite the repetitive geometry (global coding). These results suggest that CA1 place cells provide a spatial map that does not explicitly include connectivity.",,,,,,,,,"Duvelle, {\'{E}}l{\'{e}}onore and Grieves, Roddy M and Liu, Anyi and Jedidi-Ayoub, Selim and Holeniewska, Joanna and Harris, Adam and Nyberg, Nils and Donnarumma, Francesco and Lefort, Julie M and Jeffery, Kate J and Summerfield, Christopher and Pezzulo, Giovanni and Spiers, Hugo J",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAaLi4vcGFwZXJzL2R1dmVsbGUyMDIwYi5wZGZPEQFsAAAAAAFsAAIAAAVtYWNPUwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQkQAAf////8QZHV2ZWxsZTIwMjBiLnBkZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/////wAAAAAAAAAAAAAAAAABAAIAAAogY3UAAAAAAAAAAAAAAAAABnBhcGVycwACAD8vOlVzZXJzOndpdHRrdWhuOkRvY3VtZW50czpiaWJsaW9ncmFwaHk6cGFwZXJzOmR1dmVsbGUyMDIwYi5wZGYAAA4AIgAQAGQAdQB2AGUAbABsAGUAMgAwADIAMABiAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPVVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL2R1dmVsbGUyMDIwYi5wZGYAABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEEAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABsQ==,,,,,,,,,,,2020-10-22 15:25:53 +0200,2020-10-22 16:04:31 +0200,,,10.1101/2020.10.20.346130,,,,,,,,,,,,,,,bioRxiv,,,,,,,,,,,oct,,,,,,,,,,Cold Spring Harbor Laboratory,,,,,,,,Hippocampal place cells encode global location but not changes in environmental connectivity in a 4-room navigation task,,,,,https://doi.org/10.1101/2020.10.20.346130,,2020,
article,Dworkin2020NN,"Similarly to many scientific disciplines, neuroscience has increasingly attempted to confront pervasive gender imbalances. Although publishing and conference participation are often highlighted, recent research has called attention to the prevalence of gender imbalance in citations. Because of the downstream effects of citations on visibility and career advancement, understanding the role of gender in citation practices is vital for addressing scientific inequity. Here, we investigate whether gendered patterns are present in neuroscience citations. Using data from five top neuroscience journals, we find that reference lists tend to include more papers with men as first and last author than would be expected if gender were unrelated to referencing. Importantly, we show that this imbalance is driven largely by the citation practices of men and is increasing over time as the field diversifies. We assess and discuss possible mechanisms and consider how researchers might approach these issues in their own work.",,,,,,,,,"Dworkin, Jordan D. and Linn, Kristin A. and Teich, Erin G. and Zurn, Perry and Shinohara, Russell T. and Bassett, Danielle S.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAbLi4vcGFwZXJzL2R3b3JraW4yMDIwbm4ucGRmTxEBbgAAAAABbgACAAAFbWFjT1MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEJEAAH/////EWR3b3JraW4yMDIwbm4ucGRmAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8AAAAAAAAAAAAAAAAAAQACAAAKIGN1AAAAAAAAAAAAAAAAAAZwYXBlcnMAAgBALzpVc2Vyczp3aXR0a3VobjpEb2N1bWVudHM6YmlibGlvZ3JhcGh5OnBhcGVyczpkd29ya2luMjAyMG5uLnBkZgAOACQAEQBkAHcAbwByAGsAaQBuADIAMAAyADAAbgBuAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPlVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL2R3b3JraW4yMDIwbm4ucGRmABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEIAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABtA==,,,,,,,,,2020/08/01,,2020-11-19 08:34:03 +0100,2020-11-19 08:34:27 +0100,,,10.1038/s41593-020-0658-y,,,,,,,,,Dworkin2020,,1546-1726,,,,Nature Neuroscience,,,,,,,,,,,,,,8,,,918--926,,,,,,,,,,,,The extent and drivers of gender imbalance in neuroscience reference lists,JOUR,,,,https://doi.org/10.1038/s41593-020-0658-y,23,2020,
article,Diaz2019S,"The human impact on life on Earth has increased sharply since the 1970s, driven by the demands of a growing population with rising average per capita income. Nature is currently supplying more materials than ever before, but this has come at the high cost of unprecedented global declines in the extent and integrity of ecosystems, distinctness of local ecological communities, abundance and number of wild species, and the number of local domesticated varieties. Such changes reduce vital benefits that people receive from nature and threaten the quality of life of future generations. Both the benefits of an expanding economy and the costs of reducing nature's benefits are unequally distributed. The fabric of life on which we all depend---nature and its contributions to people---is unravelling rapidly. Despite the severity of the threats and lack of enough progress in tackling them to date, opportunities exist to change future trajectories through transformative action. Such action must begin immediately, however, and address the root economic, social, and technological causes of nature's deterioration.",,,,,,,,,"D{\'\i}az, Sandra and Settele, Josef and Brond{\'\i}zio, Eduardo S. and Ngo, Hien T. and Agard, John and Arneth, Almut and Balvanera, Patricia and Brauman, Kate A. and Butchart, Stuart H. M. and Chan, Kai M. A. and et al.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhbxAYAC4ALgAvAHAAYQBwAGUAcgBzAC8AZABpAwEAYQB6ADIAMAAxADkAcwAuAHAAZABmTxEBZAAAAAABZAACAAAFbWFjT1MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEJEAAH/////DWSSYXoyMDE5cy5wZGYAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8AAAAAAAAAAAAAAAAAAQACAAAKIGN1AAAAAAAAAAAAAAAAAAZwYXBlcnMAAgA+LzpVc2Vyczp3aXR0a3VobjpEb2N1bWVudHM6YmlibGlvZ3JhcGh5OnBhcGVyczpkacyBYXoyMDE5cy5wZGYADgAeAA4AZABpAwEAYQB6ADIAMAAxADkAcwAuAHAAZABmAA8ADAAFAG0AYQBjAE8AUwASADxVc2Vycy93aXR0a3Vobi9Eb2N1bWVudHMvYmlibGlvZ3JhcGh5L3BhcGVycy9kacyBYXoyMDE5cy5wZGYAEwABLwAAFQACAA///wAAAAgADQAaACQAVwAAAAAAAAIBAAAAAAAAAAUAAAAAAAAAAAAAAAAAAAG/,,,,,,,,,,,2019-12-28 23:45:35 +0100,2020-03-31 14:28:13 +0200,,,10.1126/science.aax3100,,,,,,,,,,,,1095-9203,,,Science,,,,,,,,,,,Dec,,,6471,,,eaax3100,,,,American Association for the Advancement of Science (AAAS),,,,,,climate,,Pervasive human-driven decline of life on Earth points to the need for transformative change,,,,,http://dx.doi.org/10.1126/science.aax3100,366,2019,
article,Eagleman2012PNAS,"In the absence of sensory input, neuronal networks are far from being silent. Whether spontaneous changes in ongoing activity reflect previous sensory experience or stochastic fluctuations in brain activity is not well understood. Here we describe reactivation of stimulus-evoked activity in awake visual cortical networks. We found that continuous exposure to randomly flashed image sequences induces reactivation in macaque V4 cortical networks in the absence of visual stimulation. This reactivation of previously evoked activity is stimulus-specific, occurs only in the same temporal order as the original response, and strengthens with increased stimulus exposures. Importantly, cells exhibiting significant reactivation carry more information about the stimulus than cells that do not reactivate. These results demonstrate a surprising degree of experience-dependent plasticity in visual cortical networks as a result of repeated exposure to unattended information. We suggest that awake reactivation in visual cortex may underlie perceptual learning by passive stimulus exposure.",,,,,,,,,"Eagleman, S. L. and Dragoi, V.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAeLi4vcGFwZXJzL2VhZ2xlbWFuMjAxMnBuYXMucGRmTxEBfAAAAAABfAACAAAFbWFjT1MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEJEAAH/////FGVhZ2xlbWFuMjAxMnBuYXMucGRmAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8AAAAAAAAAAAAAAAAAAQACAAAKIGN1AAAAAAAAAAAAAAAAAAZwYXBlcnMAAgBDLzpVc2Vyczp3aXR0a3VobjpEb2N1bWVudHM6YmlibGlvZ3JhcGh5OnBhcGVyczplYWdsZW1hbjIwMTJwbmFzLnBkZgAADgAqABQAZQBhAGcAbABlAG0AYQBuADIAMAAxADIAcABuAGEAcwAuAHAAZABmAA8ADAAFAG0AYQBjAE8AUwASAEFVc2Vycy93aXR0a3Vobi9Eb2N1bWVudHMvYmlibGlvZ3JhcGh5L3BhcGVycy9lYWdsZW1hbjIwMTJwbmFzLnBkZgAAEwABLwAAFQACAA///wAAAAgADQAaACQARQAAAAAAAAIBAAAAAAAAAAUAAAAAAAAAAAAAAAAAAAHF,,,,,,,,,,,2019-11-25 11:31:00 +0100,2020-03-31 14:28:13 +0200,,,10.1073/pnas.1212059109,,,,,,,,,,,,1091-6490,,,Proceedings of the National Academy of Sciences,,,,,,,,,,,Nov,,,47,,,19450--19455,,,,Proceedings of the National Academy of Sciences,,,,,,,,Image sequence reactivation in awake {V4} networks,,,,,http://dx.doi.org/10.1073/pnas.1212059109,109,2012,
article,Eckstein2019B,"Humans have the fascinating ability to achieve goals in a complex and constantly changing world, still surpassing modern machine learning algorithms in terms of flexibility and learning speed. It is generally accepted that a crucial factor for this ability is the use of abstract, hierarchical representations, which employ structure in the environment to guide learning and decision making. Nevertheless, it is poorly understood how we create and use these hierarchical representations. This study presents evidence that human behavior can be characterized as hierarchical reinforcement learning (RL). We designed an experiment to test specific predictions of hierarchical RL using a series of subtasks in the realm of context-based learning, and observed several behavioral markers of hierarchical RL, for instance asymmetric switch costs between changes in higher-level versus lower-level features, faster learning in higher-valued compared to lower-valued contexts, and preference for higher-valued compared to lower-valued contexts, which replicated across three samples. We simulated a classic flat and a hierarchical RL model and compared the behaviors of both to humans. As expected, only hierarchical RL reproduced all human behaviors, whereas flat RL was qualitatively unable to show some, and provided worse model fits for the rest. Importantly, individual hierarchical RL simulations showed human-like behaviors in all subtasks simultaneously, providing a unifying account for a diverse range of behaviors. This work shows that hierarchical RL, a biologically-inspired and computationally cheap algorithm, can reproduce human behavior in complex, hierarchical environments, and opens the avenue for future research in this field.",,,,,,,,,"Eckstein, Maria K and Collins, Anne GE",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAbLi4vcGFwZXJzL2Vja3N0ZWluMjAxOWIucGRmTxEBbgAAAAABbgACAAAFbWFjT1MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEJEAAH/////EWVja3N0ZWluMjAxOWIucGRmAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8AAAAAAAAAAAAAAAAAAQACAAAKIGN1AAAAAAAAAAAAAAAAAAZwYXBlcnMAAgBALzpVc2Vyczp3aXR0a3VobjpEb2N1bWVudHM6YmlibGlvZ3JhcGh5OnBhcGVyczplY2tzdGVpbjIwMTliLnBkZgAOACQAEQBlAGMAawBzAHQAZQBpAG4AMgAwADEAOQBiAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPlVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL2Vja3N0ZWluMjAxOWIucGRmABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEIAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABtA==,,,,,,,,,,,2020-06-11 12:00:15 +0200,2020-06-11 12:00:46 +0200,,,10.1101/731752,,,,,,,,,,,,,,,bioRxiv,,,,,,,,,,,Aug,,,,,,,,,,Cold Spring Harbor Laboratory,,,,,,,,Computational Evidence for Hierarchically-Structured Reinforcement Learning in Humans,,,,,http://dx.doi.org/10.1101/731752,,2019,
article,Editorial2017NN,,,,,,,,,,Editorial,,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAdLi4vcGFwZXJzL2VkaXRvcmlhbDIwMTdubi5wZGZPEQF2AAAAAAF2AAIAAAVtYWNPUwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQkQAAf////8TZWRpdG9yaWFsMjAxN25uLnBkZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/////wAAAAAAAAAAAAAAAAABAAIAAAogY3UAAAAAAAAAAAAAAAAABnBhcGVycwACAEIvOlVzZXJzOndpdHRrdWhuOkRvY3VtZW50czpiaWJsaW9ncmFwaHk6cGFwZXJzOmVkaXRvcmlhbDIwMTdubi5wZGYADgAoABMAZQBkAGkAdABvAHIAaQBhAGwAMgAwADEANwBuAG4ALgBwAGQAZgAPAAwABQBtAGEAYwBPAFMAEgBAVXNlcnMvd2l0dGt1aG4vRG9jdW1lbnRzL2JpYmxpb2dyYXBoeS9wYXBlcnMvZWRpdG9yaWFsMjAxN25uLnBkZgATAAEvAAAVAAIAD///AAAACAANABoAJABEAAAAAAAAAgEAAAAAAAAABQAAAAAAAAAAAAAAAAAAAb4=,,,,,,,,,,,2019-09-29 12:38:13 +0200,2020-03-31 14:28:13 +0200,,,10.1038/nn.4579,,,,,,,,,,,,1546-1726,,,Nature Neuroscience,,,,,,,,,,,Jun,,,6,,,761--761,,,,Springer Science and Business Media LLC,,,,,,"open science,",,Extending transparency to code,,,,,http://dx.doi.org/10.1038/nn.4579,20,2017,
article,Editorial2019N,Anxiety and depression in graduate students is worsening. The health of the next generation of researchers needs systemic change to research cultures. ,,,,,,,,,Editorial,,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAcLi4vcGFwZXJzL2VkaXRvcmlhbDIwMTluLnBkZk8RAXQAAAAAAXQAAgAABW1hY09TAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABCRAAB/////xJlZGl0b3JpYWwyMDE5bi5wZGYAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAD/////AAAAAFBERiBDQVJPAAEAAgAACiBjdQAAAAAAAAAAAAAAAAAGcGFwZXJzAAIAQS86VXNlcnM6d2l0dGt1aG46RG9jdW1lbnRzOmJpYmxpb2dyYXBoeTpwYXBlcnM6ZWRpdG9yaWFsMjAxOW4ucGRmAAAOACYAEgBlAGQAaQB0AG8AcgBpAGEAbAAyADAAMQA5AG4ALgBwAGQAZgAPAAwABQBtAGEAYwBPAFMAEgA/VXNlcnMvd2l0dGt1aG4vRG9jdW1lbnRzL2JpYmxpb2dyYXBoeS9wYXBlcnMvZWRpdG9yaWFsMjAxOW4ucGRmAAATAAEvAAAVAAIAD///AAAACAANABoAJABDAAAAAAAAAgEAAAAAAAAABQAAAAAAAAAAAAAAAAAAAbs=,,,,,,,,,,,2019-11-20 09:25:41 +0100,2020-03-31 14:28:12 +0200,,,10.1038/d41586-019-03489-1,,,,,,,,,,,,1476-4687,,,Nature,,,,,,,,,,,Nov,,,7782,,,257--258,,,,Springer Science and Business Media LLC,,,,,,,,The mental health of PhD researchers demands urgent attention,,,,,http://dx.doi.org/10.1038/d41586-019-03489-1,575,2019,
article,Editorial2019NHB,"Publications are commonly used to evaluate PhD students' aptitude and have the appeal of a single, `objective' measure. A collection of World Views in this issue, however, suggests that this creates only an illusion of true meritocracy. Not only assessments but PhD training per se require substantive improvements to benefit science and scientists.",,,,,,,,,Editorial,,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAeLi4vcGFwZXJzL2VkaXRvcmlhbDIwMTluaGIucGRmTxEBfAAAAAABfAACAAAFbWFjT1MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEJEAAH/////FGVkaXRvcmlhbDIwMTluaGIucGRmAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8AAAAAAAAAAAAAAAAAAQACAAAKIGN1AAAAAAAAAAAAAAAAAAZwYXBlcnMAAgBDLzpVc2Vyczp3aXR0a3VobjpEb2N1bWVudHM6YmlibGlvZ3JhcGh5OnBhcGVyczplZGl0b3JpYWwyMDE5bmhiLnBkZgAADgAqABQAZQBkAGkAdABvAHIAaQBhAGwAMgAwADEAOQBuAGgAYgAuAHAAZABmAA8ADAAFAG0AYQBjAE8AUwASAEFVc2Vycy93aXR0a3Vobi9Eb2N1bWVudHMvYmlibGlvZ3JhcGh5L3BhcGVycy9lZGl0b3JpYWwyMDE5bmhiLnBkZgAAEwABLwAAFQACAA///wAAAAgADQAaACQARQAAAAAAAAIBAAAAAAAAAAUAAAAAAAAAAAAAAAAAAAHF,,,,,,,,,,,2020-05-12 10:07:36 +0200,2020-05-12 10:08:18 +0200,,,10.1038/s41562-019-0763-7,,,,,,,,,,,,2397-3374,,,Nature Human Behaviour,,,,,,,,,,,Oct,,,10,,,1001--1001,,,,Springer Science and Business Media LLC,,,,,,open science,,Look beyond publications in assessment of PhDs,,,,,http://dx.doi.org/10.1038/s41562-019-0763-7,3,2019,
article,Editorial2019NM,,,,,,,,,,Editorial,,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAdLi4vcGFwZXJzL2VkaXRvcmlhbDIwMTlubS5wZGZPEQF2AAAAAAF2AAIAAAVtYWNPUwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQkQAAf////8TZWRpdG9yaWFsMjAxOW5tLnBkZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/////wAAAAAAAAAAAAAAAAABAAIAAAogY3UAAAAAAAAAAAAAAAAABnBhcGVycwACAEIvOlVzZXJzOndpdHRrdWhuOkRvY3VtZW50czpiaWJsaW9ncmFwaHk6cGFwZXJzOmVkaXRvcmlhbDIwMTlubS5wZGYADgAoABMAZQBkAGkAdABvAHIAaQBhAGwAMgAwADEAOQBuAG0ALgBwAGQAZgAPAAwABQBtAGEAYwBPAFMAEgBAVXNlcnMvd2l0dGt1aG4vRG9jdW1lbnRzL2JpYmxpb2dyYXBoeS9wYXBlcnMvZWRpdG9yaWFsMjAxOW5tLnBkZgATAAEvAAAVAAIAD///AAAACAANABoAJABEAAAAAAAAAgEAAAAAAAAABQAAAAAAAAAAAAAAAAAAAb4=,,,,,,,,,,,2019-12-19 10:14:28 +0100,2020-03-31 14:28:13 +0200,,,10.1038/s41563-019-0574-2,,,,,,,,,,,,1476-4660,,,Nature Materials,,,,,,,,,,,Dec,,,1,,,1--1,,,,Springer Science and Business Media LLC,,,,,,open science,,Data take centre stage,,,,,http://dx.doi.org/10.1038/s41563-019-0574-2,19,2019,
article,Editorial2020NHB,"Every research paper tells a story, but the pressure to provide `clean' narratives is harmful for the scientific endeavour.",,,,,,,,,Editorial,,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAeLi4vcGFwZXJzL2VkaXRvcmlhbDIwMjBuaGIucGRmTxEBfAAAAAABfAACAAAFbWFjT1MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEJEAAH/////FGVkaXRvcmlhbDIwMjBuaGIucGRmAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8AAAAAAAAAAAAAAAAAAQACAAAKIGN1AAAAAAAAAAAAAAAAAAZwYXBlcnMAAgBDLzpVc2Vyczp3aXR0a3VobjpEb2N1bWVudHM6YmlibGlvZ3JhcGh5OnBhcGVyczplZGl0b3JpYWwyMDIwbmhiLnBkZgAADgAqABQAZQBkAGkAdABvAHIAaQBhAGwAMgAwADIAMABuAGgAYgAuAHAAZABmAA8ADAAFAG0AYQBjAE8AUwASAEFVc2Vycy93aXR0a3Vobi9Eb2N1bWVudHMvYmlibGlvZ3JhcGh5L3BhcGVycy9lZGl0b3JpYWwyMDIwbmhiLnBkZgAAEwABLwAAFQACAA///wAAAAgADQAaACQARQAAAAAAAAIBAAAAAAAAAAUAAAAAAAAAAAAAAAAAAAHF,,,,,,,,,,,2020-06-11 12:20:18 +0200,2020-06-11 12:20:54 +0200,,,10.1038/s41562-020-0818-9,,,,,,,,,,,,2397-3374,,,Nature Human Behaviour,,,,,,,,,,,Jan,,,1,,,1--1,,,,Springer Science and Business Media LLC,,,,,,open science,,Tell it like it is,,,,,http://dx.doi.org/10.1038/s41562-020-0818-9,4,2020,
article,Editorial2020NMI,"A research paper makes the most impact when its methods, data and code are available for others to use and build on. We highlight the benefits of good sharing practices with a new type of article, reusability reports.",,,,,,,,,Editorial,,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAeLi4vcGFwZXJzL2VkaXRvcmlhbDIwMjBubWkucGRmTxEBfAAAAAABfAACAAAFbWFjT1MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEJEAAH/////FGVkaXRvcmlhbDIwMjBubWkucGRmAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8AAAAAAAAAAAAAAAAAAQACAAAKIGN1AAAAAAAAAAAAAAAAAAZwYXBlcnMAAgBDLzpVc2Vyczp3aXR0a3VobjpEb2N1bWVudHM6YmlibGlvZ3JhcGh5OnBhcGVyczplZGl0b3JpYWwyMDIwbm1pLnBkZgAADgAqABQAZQBkAGkAdABvAHIAaQBhAGwAMgAwADIAMABuAG0AaQAuAHAAZABmAA8ADAAFAG0AYQBjAE8AUwASAEFVc2Vycy93aXR0a3Vobi9Eb2N1bWVudHMvYmlibGlvZ3JhcGh5L3BhcGVycy9lZGl0b3JpYWwyMDIwbm1pLnBkZgAAEwABLwAAFQACAA///wAAAAgADQAaACQARQAAAAAAAAIBAAAAAAAAAAUAAAAAAAAAAAAAAAAAAAHF,,,,,,,,,2020/12/01,,2020-12-14 09:59:51 +0100,2020-12-14 10:00:08 +0100,,,10.1038/s42256-020-00277-9,,,,,,,,,ref1,,2522-5839,,,,Nature Machine Intelligence,,,,,,,,,,,,,,12,,,729--729,,,,,,,,,,,,"Research, reuse, repeat",JOUR,,,,https://doi.org/10.1038/s42256-020-00277-9,2,2020,
article,Eglen2017NN,"Computational techniques are central in many areas of neuroscience and are relatively easy to share. This paper describes why computer programs underlying scientific publications should be shared and lists simple steps for sharing. Together with ongoing efforts in data sharing, this should aid reproducibility of research.",,,,,,,,,"Eglen, Stephen J and Marwick, Ben and Halchenko, Yaroslav O and Hanke, Michael and Sufi, Shoaib and Gleeson, Padraig and Silver, R Angus and Davison, Andrew P and Lanyon, Linda and Abrams, Mathew and et al.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAZLi4vcGFwZXJzL2VnbGVuMjAxN25uLnBkZk8RAWYAAAAAAWYAAgAABW1hY09TAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABCRAAB/////w9lZ2xlbjIwMTdubi5wZGYAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAD/////AAAAAAAAAAAAAAAAAAEAAgAACiBjdQAAAAAAAAAAAAAAAAAGcGFwZXJzAAIAPi86VXNlcnM6d2l0dGt1aG46RG9jdW1lbnRzOmJpYmxpb2dyYXBoeTpwYXBlcnM6ZWdsZW4yMDE3bm4ucGRmAA4AIAAPAGUAZwBsAGUAbgAyADAAMQA3AG4AbgAuAHAAZABmAA8ADAAFAG0AYQBjAE8AUwASADxVc2Vycy93aXR0a3Vobi9Eb2N1bWVudHMvYmlibGlvZ3JhcGh5L3BhcGVycy9lZ2xlbjIwMTdubi5wZGYAEwABLwAAFQACAA///wAAAAgADQAaACQAQAAAAAAAAAIBAAAAAAAAAAUAAAAAAAAAAAAAAAAAAAGq,,,,,,,,,,,2019-09-29 12:42:14 +0200,2020-03-31 14:28:13 +0200,,,10.1038/nn.4550,,,,,,,,,,,,1546-1726,,,Nature Neuroscience,,,,,,,,,,,Jun,,,6,,,770--773,,,,Springer Science and Business Media LLC,,,,,,open science,,Toward standard practices for sharing computer code and programs in neuroscience,,,,,http://dx.doi.org/10.1038/nn.4550,20,2017,
